0,4,4,4,1,7,0,0,6,0,3,1,1,0,3,0,0,3,1
3,0,5,5,0,4,0,0,3,16,1,8,8,1,8,0,0,7,0
7,1,12,12,2,7,0,0,11,5,2,8,8,2,11,0,0,10,0
4,1,4,4,0,7,1,0,7,0,4,4,4,1,7,0,0,6,0
1,0,4,4,2,1,0,1,6,3,1,1,1,0,12,1,0,3,0
3,0,8,8,1,4,0,0,9,19,1,25,25,0,22,0,0,3,0
4,0,0,0,0,6,0,0,0,5,0,28,28,0,7,0,0,7,0
15,1,1,1,0,5,1,0,3,3,0,8,8,1,11,0,0,12,0
3,3,1,1,0,9,1,0,3,6,0,11,11,2,6,0,0,7,0
1,2,5,5,1,6,0,0,9,2,1,10,10,2,5,0,0,7,0
1,1,2,2,0,3,0,0,4,3,2,7,7,3,8,0,0,10,0
1,1,2,2,0,2,0,0,4,1,1,1,1,0,2,0,0,4,0
0,0,8,8,0,1,0,0,2,4,0,1,1,0,4,0,0,3,0
3,4,7,7,3,10,0,0,10,2,1,7,7,1,4,0,0,9,0
16,1,12,12,1,5,1,0,5,4,1,3,3,1,5,0,0,5,0
5,0,4,4,0,6,0,0,0,4,2,8,8,1,7,0,0,9,0
4,1,5,5,1,14,0,0,6,0,0,8,8,0,1,0,0,2,0
9,1,7,7,1,10,1,0,5,4,1,5,5,0,5,0,0,8,0
4,1,11,11,1,5,0,0,7,2,0,3,3,0,2,0,0,2,0
3,2,6,6,2,10,0,0,9,1,1,3,3,0,2,0,0,3,0
5,0,23,23,4,6,0,0,15,4,1,9,9,1,6,0,0,10,0
3,1,9,9,0,8,0,0,4,1,4,10,10,1,6,0,0,10,0
1,0,5,5,0,2,0,0,0,34,2,10,10,3,16,0,0,15,0
0,1,3,3,0,1,0,1,3,14,3,21,21,3,18,0,0,17,0
1,0,5,5,0,2,0,0,0,1,0,1,1,0,1,0,1,3,0
4,1,1,1,0,5,0,0,3,5,0,3,3,0,6,0,0,0,0
0,0,0,0,0,1,0,0,0,0,3,10,10,0,3,0,0,18,0
0,1,21,21,0,1,0,0,14,19,1,25,25,0,22,0,0,3,0
1,0,4,4,0,1,0,1,3,0,0,3,3,0,0,0,1,8,0
2,0,12,12,1,4,0,0,5,3,2,12,12,1,5,0,0,11,0
8,1,1,1,0,13,0,0,3,3,0,3,3,0,2,0,0,2,0
2,0,12,12,1,4,0,0,5,1,0,1,1,1,2,0,0,1,0
3,0,5,5,0,4,0,0,2,4,0,1,1,0,4,0,0,3,0
4,0,0,0,0,5,0,0,0,4,1,5,5,0,5,0,0,3,0
6,2,10,10,1,13,0,0,10,1,2,8,8,0,4,0,0,5,0
1,1,1,1,1,3,0,1,6,3,2,13,13,2,6,0,0,13,0
2,1,8,8,2,7,0,0,11,13,3,31,31,2,17,0,0,26,0
1,2,2,2,0,3,0,0,11,1,1,3,3,0,2,0,0,4,0
4,2,10,10,2,6,0,0,8,1,1,7,7,1,3,0,0,9,0
3,0,0,0,0,4,0,0,0,1,1,2,2,1,5,0,0,5,0
1,2,5,5,0,4,0,0,7,4,0,1,1,0,7,0,0,2,0
5,1,17,17,1,6,0,0,11,3,0,2,2,0,5,0,0,0,0
15,1,6,6,1,5,0,0,5,1,1,6,6,0,2,0,0,9,0
1,0,7,7,2,1,0,1,9,6,1,11,11,2,16,1,0,14,0
5,2,8,8,2,11,0,0,10,6,1,7,7,0,7,0,1,9,0
3,4,7,7,3,10,0,0,10,0,0,3,3,0,0,0,2,3,0
8,1,1,1,2,18,0,0,5,0,3,2,2,0,3,0,0,7,0
5,5,10,10,2,12,0,0,17,4,1,11,11,1,5,0,0,7,0
4,1,7,7,0,5,0,1,3,1,0,4,4,0,2,0,0,0,0
2,1,8,8,2,3,0,0,7,3,1,4,4,2,8,0,0,8,0
4,1,9,9,1,6,0,0,10,0,3,10,10,0,3,0,0,18,0
19,1,25,25,0,22,0,0,3,4,1,1,1,0,8,1,0,4,0
5,1,17,17,0,8,0,0,6,12,1,15,15,3,15,0,0,11,0
4,1,10,10,0,5,0,0,3,6,2,10,10,1,13,0,0,10,0
3,4,8,8,0,10,1,1,17,4,1,10,10,0,5,0,0,3,0
1,2,5,5,1,6,0,0,9,2,2,3,3,1,14,0,0,6,0
6,0,6,6,0,6,0,0,0,2,1,12,12,2,3,0,0,11,0
0,0,0,0,0,1,0,0,0,1,0,5,5,0,2,0,0,0,0
5,0,4,4,0,6,0,0,0,6,1,13,13,6,7,0,0,15,0
0,1,2,2,0,1,0,0,101,5,1,3,3,1,6,1,0,7,0
6,1,11,11,2,8,0,0,11,2,1,3,3,0,4,0,0,4,0
3,0,3,3,0,2,0,0,2,0,0,3,3,0,0,0,2,3,0
2,1,4,4,0,3,0,0,7,1,0,4,4,0,2,0,0,0,0
4,1,13,13,2,5,0,0,9,3,0,5,5,1,3,0,1,8,0
2,0,4,4,3,16,0,0,9,5,1,5,5,1,7,0,1,5,0
5,1,13,13,1,6,0,0,9,32,1,73,73,1,35,0,1,57,0
1,0,4,4,0,2,0,0,0,1,1,7,7,0,3,0,1,8,0
2,2,8,8,1,6,0,0,8,1,0,5,5,1,1,0,2,7,0
4,1,2,2,0,6,0,2,3,0,2,1,1,0,3,0,0,10,0
3,4,8,8,0,10,1,1,17,3,1,10,10,3,5,0,0,10,0
1,2,9,9,1,4,0,0,8,5,0,1,1,0,7,0,0,0,0
5,3,11,11,2,9,0,0,12,1,0,3,3,1,1,0,2,4,0
9,11,16,16,2,25,4,0,10,4,1,15,15,2,4,0,0,11,0
1,1,8,8,0,5,0,0,9,5,2,11,11,1,8,0,0,13,0
4,1,15,15,2,5,0,0,15,4,1,4,4,0,7,1,0,7,0
3,4,7,7,3,10,0,0,10,4,0,1,1,0,4,0,0,3,0
4,1,10,10,1,4,0,0,11,4,2,4,4,0,7,0,0,5,0
1,4,4,4,0,6,0,0,13,4,1,10,10,1,6,1,0,11,0
4,0,3,3,0,4,0,0,1,2,1,1,1,0,3,0,0,6,0
1,1,1,1,0,2,0,0,4,4,1,1,1,0,9,0,0,3,0
0,3,6,6,0,3,0,0,11,6,2,11,11,1,9,0,0,11,0
27,3,5,5,3,32,0,0,7,2,2,5,5,1,7,0,0,8,0
1,1,4,4,0,5,0,0,8,1,0,0,0,0,1,0,0,0,0
0,1,2,2,0,1,0,0,102,1,0,7,7,2,1,0,1,9,0
1,1,13,13,0,5,0,0,17,3,0,6,6,0,3,0,0,3,0
3,0,1,1,0,3,0,0,4,5,1,18,18,0,13,0,0,7,0
8,1,1,1,0,13,0,0,3,3,0,1,1,0,5,0,0,1,0
1,1,4,4,0,3,0,0,7,0,0,4,4,0,0,0,0,5,0
0,10,4,4,0,12,0,0,6,4,1,1,1,0,5,0,0,4,0
1,0,1,1,0,1,0,0,0,2,4,15,15,1,8,0,0,11,0
3,0,4,4,0,4,0,0,1,2,0,0,0,0,2,0,0,0,0
1,1,7,7,1,3,0,0,9,8,1,24,24,4,12,0,0,11,0
8,2,16,16,4,10,0,0,17,1,0,3,3,1,1,0,2,4,0
3,1,1,1,0,4,1,1,3,2,0,0,0,0,3,0,0,0,0
3,2,6,6,2,10,0,0,9,2,0,2,2,1,3,0,0,4,0
0,1,1,1,0,1,0,0,8,4,1,1,1,0,5,0,0,3,0
3,0,3,3,0,2,0,0,2,5,2,8,8,2,11,0,0,10,0
0,0,9,9,1,1,0,1,4,2,1,2,2,0,3,0,1,3,0
0,4,4,4,1,7,0,0,6,4,1,7,7,1,5,0,1,6,0
5,0,2,2,0,5,0,0,1,3,2,10,10,4,9,0,0,12,0
4,0,0,0,0,4,0,0,0,1,0,5,5,0,2,0,0,2,0
5,1,3,3,1,6,1,0,7,4,1,1,1,1,6,1,0,4,0
4,1,5,5,1,14,0,0,6,4,1,5,5,1,5,0,0,5,0
7,1,1,1,0,19,2,2,4,6,1,3,3,0,8,0,0,3,0
6,1,3,3,0,8,0,0,3,10,1,9,9,1,17,0,0,5,0
1,2,7,7,1,4,0,0,7,0,1,1,1,0,1,0,0,8,0
3,1,4,4,1,9,0,0,5,2,1,3,3,1,4,0,0,7,0
3,3,11,11,2,7,0,0,7,2,1,8,8,1,3,0,0,5,0
4,1,2,2,0,6,1,0,3,1,2,5,5,1,6,0,0,9,0
5,0,1,1,0,7,0,0,0,0,1,3,3,1,3,0,1,7,0
2,3,2,2,0,11,2,0,4,34,2,10,10,3,16,0,0,15,0
19,1,6,6,1,4,0,0,5,3,1,4,4,1,9,0,0,5,0
4,1,1,1,0,5,0,0,4,4,1,1,1,0,5,0,0,3,0
1,1,7,7,0,5,0,0,3,3,0,5,5,0,4,0,0,2,0
1,1,4,4,1,5,0,0,5,3,2,1,1,0,7,1,1,3,0
3,3,12,12,1,7,1,0,11,1,0,7,7,2,1,0,1,9,0
0,1,3,3,0,7,1,2,5,1,0,1,1,0,1,0,0,3,0
3,1,5,5,0,4,0,0,5,1,4,4,4,0,6,0,0,13,0
19,1,6,6,1,4,0,0,5,3,0,5,5,0,3,0,0,1,0
3,1,13,13,0,4,0,0,5,34,1,106,106,5,44,0,0,19,0
7,1,2,2,2,12,0,0,5,1,1,3,3,1,3,0,0,5,0
0,0,3,3,0,0,0,2,3,1,1,3,3,0,2,0,0,3,0
4,1,2,2,0,7,0,1,3,4,1,15,15,2,5,0,0,15,0
0,0,3,3,0,0,0,0,3,1,1,1,1,0,2,0,1,4,0
4,1,1,1,0,9,1,0,3,6,1,13,13,6,7,0,0,15,0
0,1,1,1,0,1,0,0,6,1,1,3,3,0,2,0,0,3,0
1,0,3,3,1,2,0,1,5,4,1,7,7,1,5,0,0,5,0
4,2,14,14,1,8,0,0,18,0,3,2,2,0,3,1,0,5,0
1,1,1,1,0,2,0,0,4,1,2,8,8,0,4,0,0,5,0
2,1,1,1,0,3,0,0,6,4,1,7,7,1,5,0,0,5,0
3,1,1,1,0,4,0,0,3,1,0,7,7,2,1,0,1,9,0
5,2,7,7,1,11,0,0,9,1,1,4,4,0,5,0,0,8,0
18,1,14,14,3,9,0,0,11,3,1,2,2,0,4,0,0,3,0
4,1,7,7,5,17,0,0,9,1,0,5,5,0,2,0,0,0,0
2,1,1,1,0,3,0,0,3,1,2,6,6,1,3,0,0,7,0
7,1,5,5,1,13,0,0,10,11,1,23,23,5,12,1,0,17,0
2,1,9,9,2,3,0,0,9,3,0,5,5,1,3,0,1,7,0
1,1,7,7,1,3,0,0,9,3,1,4,4,0,4,0,1,5,0
6,1,12,12,1,8,1,0,5,5,1,1,1,0,7,1,0,3,0
4,0,4,4,0,4,0,0,4,5,1,17,17,0,8,0,0,6,0
3,0,6,6,0,3,0,0,3,3,1,1,1,0,5,0,1,3,0
0,2,1,1,0,3,0,0,5,5,2,11,11,1,8,0,0,13,0
8,1,9,9,3,18,0,1,10,1,0,7,7,2,1,0,1,9,0
3,0,4,4,0,4,0,0,1,15,1,6,6,1,5,0,0,5,0
6,2,10,10,1,13,0,0,10,8,6,15,15,0,18,3,0,5,0
14,3,21,21,3,18,0,0,17,6,1,11,11,0,7,1,0,6,0
4,1,1,1,0,5,0,0,4,4,1,2,2,0,7,0,1,3,0
2,1,1,1,0,7,1,0,3,4,1,3,3,2,14,0,3,9,0
4,1,7,7,1,6,0,0,8,3,1,5,5,0,4,0,0,5,0
6,1,4,4,1,7,0,0,6,6,1,3,3,0,8,0,0,3,0
5,1,18,18,0,13,0,0,7,1,1,3,3,0,2,0,0,3,0
0,1,1,1,0,1,0,0,4,6,1,18,18,1,16,0,0,9,0
1,0,7,7,2,1,0,1,9,1,0,1,1,0,1,0,0,3,0
8,1,19,19,1,10,0,0,13,4,1,5,5,1,6,0,0,8,0
5,0,3,3,0,6,0,0,0,6,2,9,9,1,7,0,0,12,0
13,2,26,26,4,15,1,4,30,0,3,1,1,1,4,0,0,4,0
3,2,7,7,3,8,0,0,10,3,4,5,5,0,11,0,0,6,0
2,2,6,6,1,5,0,0,7,5,1,11,11,0,9,0,0,5,0
0,0,1,1,0,0,0,0,1,19,1,3,3,2,27,0,1,9,0
4,1,1,1,0,6,1,0,4,11,1,44,44,4,13,0,0,23,0
13,3,31,31,2,17,0,0,26,4,0,1,1,0,5,0,0,0,0
1,1,3,3,0,2,0,0,6,4,1,2,2,2,13,0,0,6,0
8,1,1,1,0,9,0,0,3,4,1,20,20,1,7,0,0,13,0
3,0,3,3,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0
3,2,13,13,2,6,0,0,13,2,1,2,2,0,3,1,0,5,0
4,1,3,3,0,5,0,0,3,1,0,6,6,0,1,0,0,2,0
3,1,5,5,1,17,0,0,11,1,0,7,7,2,1,0,1,9,0
2,2,5,5,1,7,0,0,8,5,1,7,7,0,6,0,0,3,0
2,2,2,2,0,4,0,0,4,1,0,5,5,0,2,0,0,0,0
5,2,11,11,1,8,0,0,13,1,0,4,4,0,2,0,0,0,0
8,1,17,17,0,9,0,0,9,5,1,7,7,0,6,0,0,3,0
1,0,0,0,0,1,0,0,0,3,0,8,8,1,4,0,0,9,0
0,5,1,1,0,6,0,0,3,1,1,7,7,0,5,0,0,3,0
5,1,7,7,2,7,0,0,9,0,4,4,4,1,7,0,0,6,0
1,1,2,2,0,3,1,0,6,5,2,6,6,2,7,0,0,8,0
5,1,7,7,2,7,0,0,9,4,1,1,1,0,8,1,0,4,0
2,2,2,2,0,4,0,0,4,5,2,11,11,1,8,0,0,13,0
1,1,1,1,0,2,0,0,4,0,1,3,3,0,7,1,2,5,0
1,4,4,4,0,6,0,0,13,4,2,2,2,2,9,0,0,8,0
7,3,26,26,4,11,0,0,19,1,0,6,6,1,1,0,0,9,0
17,1,22,22,4,10,0,0,17,1,1,1,1,0,4,0,1,3,0
0,4,4,4,1,7,0,0,6,0,1,3,3,1,3,0,1,7,0
0,2,1,1,0,4,1,1,3,3,2,13,13,2,6,0,0,13,0
4,1,5,5,1,5,0,0,6,10,3,27,27,2,12,0,0,25,0
1,0,5,5,0,2,0,0,0,3,1,9,9,0,8,0,0,4,0
4,1,10,10,1,6,0,0,9,3,4,7,7,3,10,0,0,10,0
4,1,14,14,2,6,0,0,9,4,1,3,3,1,5,0,0,5,0
2,2,6,6,0,5,0,0,5,4,2,8,8,1,7,0,0,9,0
1,2,2,2,0,6,0,0,4,5,0,1,1,0,7,0,0,0,0
1,0,7,7,2,1,0,1,9,3,1,2,2,1,5,0,0,5,0
11,1,44,44,4,13,0,0,23,4,1,22,22,0,5,0,0,3,0
5,1,9,9,2,6,0,0,11,6,1,23,23,4,7,0,0,11,0
1,0,5,5,0,2,0,0,2,6,1,7,7,1,4,0,0,9,0
1,1,5,5,0,5,1,3,7,1,1,7,7,1,2,0,0,13,0
4,1,5,5,1,14,0,0,6,8,1,19,19,1,10,0,0,13,0
0,2,2,2,0,8,0,0,7,2,0,2,2,0,0,0,0,4,0
2,1,13,13,1,5,0,0,11,4,2,14,14,1,8,0,0,18,0
5,1,5,5,1,16,0,0,12,1,1,1,1,1,6,0,0,5,0
2,1,5,5,1,4,0,0,5,0,0,2,2,0,2,0,0,3,0
6,2,9,9,1,7,0,0,12,7,1,16,16,3,8,0,0,13,0
0,1,4,4,2,1,1,0,5,2,1,2,2,0,3,1,0,5,0
2,1,1,1,0,3,0,0,6,1,1,3,3,1,3,0,0,5,0
0,3,2,2,0,3,1,0,5,3,2,6,6,2,10,0,0,9,0
4,1,8,8,1,6,1,2,11,14,3,21,21,3,18,0,0,17,0
6,1,5,5,2,12,0,0,6,5,1,4,4,1,6,1,0,6,0
3,4,2,2,0,11,1,0,5,2,1,5,5,1,3,1,0,7,0
3,0,7,7,1,4,0,2,7,5,1,3,3,1,6,1,0,6,0
0,0,4,4,0,0,0,0,5,1,0,3,3,1,1,0,1,5,0
3,0,4,4,0,4,0,0,1,0,1,30,30,0,1,0,0,3,0
8,1,17,17,0,9,0,0,9,1,1,2,2,0,2,0,0,4,0
0,3,5,5,0,3,1,0,8,5,3,12,12,0,14,1,0,9,0
2,1,2,2,0,3,1,0,3,5,1,5,5,2,20,0,0,7,0
3,5,7,7,3,64,0,0,7,1,0,4,4,0,1,0,1,3,0
0,1,4,4,2,3,0,0,6,1,0,5,5,0,2,0,0,0,0
1,1,2,2,0,2,0,1,3,3,1,16,16,2,4,0,0,15,0
5,1,1,1,0,6,0,2,3,2,5,8,8,1,11,0,0,17,0
1,1,4,4,0,5,0,0,8,3,3,11,11,2,7,0,0,7,0
3,2,10,10,4,9,0,0,12,3,1,2,2,1,6,0,1,6,0
1,1,3,3,1,3,0,0,7,1,0,1,1,0,1,0,0,2,0
2,0,1,1,0,4,0,0,5,4,0,0,0,0,6,0,0,0,0
0,0,9,9,0,1,1,0,13,2,1,1,1,0,7,1,0,3,0
2,5,8,8,1,11,0,0,17,0,0,3,3,0,0,0,2,3,0
4,1,8,8,1,6,0,0,5,0,5,1,1,0,5,0,0,3,0
3,1,3,3,2,10,0,0,6,4,2,7,7,1,6,0,0,5,0
0,3,10,10,0,3,0,0,18,2,2,6,6,0,5,0,0,5,0
0,1,3,3,0,1,0,0,4,1,1,1,1,0,2,0,0,4,0
4,1,7,7,1,5,0,1,6,5,1,7,7,2,7,0,0,9,0
1,1,3,3,2,5,0,0,8,2,2,16,16,2,5,0,0,11,0
4,1,1,1,0,5,0,1,3,0,1,13,13,0,1,0,0,11,0
4,1,4,4,2,9,0,0,9,4,2,2,2,2,9,0,0,8,0
1,0,4,4,0,1,0,1,3,10,1,1,1,1,17,0,0,12,0
5,0,1,1,0,7,0,0,0,2,4,15,15,1,8,0,0,11,0
5,1,4,4,1,7,0,0,4,5,3,1,1,0,9,0,1,3,0
33,2,30,30,3,21,0,2,27,4,1,3,3,2,9,0,0,6,0
2,0,3,3,1,2,0,1,5,2,1,3,3,1,4,0,0,5,0
2,0,17,17,1,2,1,0,14,1,0,2,2,0,1,0,1,3,0
1,1,2,2,0,3,0,0,4,3,0,4,4,0,4,0,0,1,0
8,2,16,16,4,10,0,0,17,4,1,15,15,2,5,0,0,15,0
1,2,2,2,0,4,0,0,5,5,1,3,3,1,10,1,0,5,0
8,2,16,16,4,10,0,0,17,2,1,2,2,0,4,0,1,3,0
19,1,6,6,1,4,0,0,5,2,0,0,0,0,2,0,0,0,0
6,0,6,6,0,6,0,0,0,4,1,3,3,0,7,0,0,3,0
3,0,1,1,0,5,0,0,1,3,1,13,13,0,4,0,0,5,0
3,3,15,15,2,7,0,0,15,3,1,4,4,1,9,0,0,5,0
3,1,1,1,0,12,1,0,3,7,1,2,2,0,15,0,0,3,0
2,1,5,5,1,4,0,0,5,2,1,10,10,2,5,0,0,7,0
1,0,3,3,2,1,0,0,6,0,0,3,3,0,0,0,2,3,0
2,2,8,8,1,6,0,0,8,4,1,10,10,1,6,0,0,9,0
4,1,3,3,1,13,1,0,5,5,1,11,11,0,9,0,0,5,0
1,0,4,4,0,2,1,0,7,0,1,7,7,2,1,0,0,7,0
3,1,2,2,0,4,1,0,3,0,1,4,4,0,3,0,0,3,0
4,1,5,5,1,14,0,0,6,5,1,11,11,2,7,0,0,13,0
2,1,3,3,1,4,0,0,5,5,1,23,23,2,6,1,1,19,0
4,1,13,13,2,5,0,0,9,34,2,10,10,3,16,0,0,15,0
7,1,16,16,3,8,0,0,13,2,2,6,6,0,5,0,0,5,0
3,1,13,13,3,5,0,0,10,15,1,16,16,2,6,0,0,9,0
1,4,4,4,0,6,0,0,13,0,2,1,1,0,4,1,1,3,0
1,1,2,2,0,3,1,0,6,4,2,14,14,1,8,0,0,18,0
0,1,5,5,0,1,0,0,9,6,2,9,9,1,7,0,0,12,0
3,1,1,1,0,12,1,0,3,5,1,10,10,1,7,0,0,10,0
4,1,7,7,1,5,0,0,9,1,1,1,1,0,2,0,0,4,0
2,0,2,2,1,3,0,0,4,14,3,21,21,3,18,0,0,17,0
7,1,27,27,3,9,0,0,13,0,0,1,1,0,0,0,0,1,0
9,2,1,1,0,11,0,0,5,4,0,3,3,0,4,0,0,2,0
34,1,106,106,5,44,0,0,19,1,1,3,3,0,2,0,0,6,0
4,2,4,4,0,7,0,0,5,3,2,6,6,2,10,0,0,9,0
2,1,5,5,1,3,1,0,7,4,1,5,5,1,5,1,0,6,0
1,1,3,3,1,3,0,0,5,1,0,1,1,1,2,0,0,1,0
14,3,21,21,3,18,0,0,17,7,0,11,11,2,8,0,0,9,0
0,4,4,4,1,7,0,0,6,4,1,2,2,0,5,1,0,3,0
2,0,1,1,0,6,0,0,1,3,2,6,6,2,10,0,0,9,0
3,1,4,4,1,4,0,0,5,4,1,7,7,5,17,0,0,9,0
3,1,8,8,0,4,0,0,13,4,1,14,14,2,6,0,0,9,0
4,1,2,2,0,5,0,1,3,2,0,1,1,0,2,0,0,3,0
6,1,15,15,1,4,0,0,5,3,0,5,5,0,4,0,0,2,0
3,1,2,2,0,4,0,1,6,20,0,0,0,0,4,0,0,0,0
16,1,30,30,2,27,1,0,9,1,2,5,5,1,6,0,0,9,0
1,0,3,3,1,1,0,1,5,3,1,4,4,1,6,1,0,5,0
7,0,9,9,0,6,0,0,3,2,1,9,9,0,3,0,0,5,0
2,1,1,1,0,13,0,0,3,2,3,1,1,0,6,1,0,4,0
1,0,0,0,0,2,0,0,0,4,1,10,10,2,4,0,0,7,0
2,0,1,1,0,2,0,0,0,4,1,16,16,0,5,0,0,3,0
2,1,6,6,1,3,0,0,7,3,2,5,5,1,6,0,0,9,0
5,2,8,8,2,11,0,0,10,2,0,1,1,0,2,0,4,3,0
2,0,0,0,0,3,0,0,0,3,2,13,13,2,6,0,0,13,0
12,1,38,38,4,22,0,0,20,4,2,14,14,1,8,0,0,18,0
5,1,15,15,1,3,0,0,5,3,1,13,13,3,5,0,0,10,0
0,4,4,4,1,7,0,0,6,3,1,4,4,0,4,0,1,5,0
1,0,1,1,1,2,0,0,1,1,1,6,6,0,2,0,0,9,0
5,0,2,2,0,7,0,0,1,10,1,15,15,4,11,0,0,11,0
4,1,18,18,0,6,0,0,3,2,2,3,3,1,14,0,0,6,0
5,1,8,8,3,11,0,0,9,4,1,5,5,0,5,0,0,8,0
5,1,3,3,1,16,0,0,5,14,3,21,21,3,18,0,0,17,0
4,2,8,8,1,7,0,0,9,3,0,1,1,0,4,0,0,2,0
3,0,5,5,1,3,0,1,8,1,0,3,3,1,1,0,2,4,0
1,2,2,2,0,6,0,0,4,0,3,2,2,0,3,0,0,7,0
0,4,4,4,1,7,0,0,6,3,0,7,7,1,4,0,2,7,0
0,0,1,1,0,0,0,1,3,3,0,6,6,0,3,0,0,3,0
5,1,23,23,2,6,1,1,19,0,1,7,7,0,1,0,0,9,0
1,0,0,0,0,5,0,0,0,6,2,11,11,1,9,0,0,11,0
0,0,2,2,2,0,0,1,5,8,2,8,8,0,13,0,0,8,0
1,1,4,4,1,2,0,2,6,1,4,10,10,1,6,0,0,10,0
1,0,3,3,1,1,0,1,5,15,1,16,16,2,6,0,0,9,0
1,0,1,1,0,2,0,0,2,0,0,3,3,0,1,0,0,4,0
8,1,7,7,0,4,0,0,3,0,0,1,1,1,1,0,0,5,0
3,2,9,9,1,7,0,0,8,0,0,2,2,0,2,0,0,2,0
1,0,3,3,1,1,0,1,5,4,1,1,1,0,6,1,0,3,0
3,0,0,0,0,3,0,0,0,4,1,7,7,1,5,0,0,6,0
6,1,15,15,1,8,1,0,5,1,1,3,3,1,3,0,0,5,0
5,2,11,11,1,8,0,0,13,0,1,5,5,1,3,0,1,8,0
6,2,11,11,1,9,0,0,11,3,3,6,6,0,6,0,0,9,0
1,0,3,3,1,1,0,2,4,4,1,7,7,1,5,0,0,6,0
4,0,1,1,0,5,0,0,0,1,0,1,1,1,1,0,1,4,0
14,1,25,25,4,15,0,0,17,5,0,5,5,1,5,0,0,2,0
5,2,7,7,1,11,0,0,9,7,1,3,3,1,9,0,1,5,0
0,1,3,3,1,2,1,1,6,6,2,10,10,1,13,0,0,10,0
0,0,3,3,0,1,0,0,3,6,1,1,1,0,7,0,0,3,0
3,1,12,12,3,4,0,0,11,6,1,7,7,1,19,0,0,10,0
